antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,improvement,added_value,gini_index,lift_diff,kl_divergence
frozenset({'milk'}),"frozenset({'chocolate', 'spaghetti'})",0.010931875749900012,0.08436213991769548,2.152382352117802,0.005852910230997773,1.0493288535311398,0.6151055889483691,0.06925675675675674,0.04700990863363865,0.1816368522717729,0.15339353454311347,0.03919477403012932,0.04516736588756616,0.04516736588756616,0.0016888691853962443,1.1523823521178018,0.09329899115527374
frozenset({'spaghetti'}),"frozenset({'olive oil', 'mineral water'})",0.010265297960271964,0.058958652373660034,2.13646788142427,0.005460499325326592,1.033327262359052,0.6440782784608451,0.053621169916434536,0.03225237886685274,0.21546966435108122,0.14809280666315675,0.027596320490601255,0.03136233188305878,0.03136233188305878,0.0011390893975905963,1.1364678814242701,0.06457314501496972
"frozenset({'olive oil', 'mineral water'})",frozenset({'spaghetti'}),0.010265297960271964,0.3719806763285024,2.13646788142427,0.005460499325326592,1.3150708110713443,0.5470338545468789,0.053621169916434536,0.23958467363036265,0.21546966435108122,0.14809280666315675,0.17411011865084655,0.19787055767765585,0.19787055767765585,0.004796174126925827,1.1364678814242701,0.4074035139591809
frozenset({'mineral water'}),"frozenset({'ground beef', 'eggs'})",0.010131982402346354,0.042505592841163314,2.125563012677107,0.005365253614764888,1.023507457572635,0.6952656452965076,0.04081632653061225,0.02296754889152034,0.274586129753915,0.14675205974541802,0.019997333688841486,0.022508259152321828,0.022508259152321828,0.0008247204169569998,1.125563012677107,0.04623949785787086
"frozenset({'ground beef', 'eggs'})",frozenset({'mineral water'}),0.010131982402346354,0.5066666666666667,2.125563012677107,0.005365253614764888,1.5438482076263709,0.5403418081320838,0.04081632653061225,0.3522679269502305,0.274586129753915,0.14675205974541802,0.23836821757099053,0.2682984490956762,0.2682984490956762,0.005065090580515191,1.125563012677107,0.5511748144658207
"frozenset({'chocolate', 'mineral water'})",frozenset({'ground beef'}),0.010931875749900012,0.20759493670886073,2.112848874156261,0.005757877796891889,1.1379867135926072,0.5559832638855519,0.07809523809523808,0.12125511831063931,0.1594284045823815,0.15197829243215089,0.09825356619117451,0.10934137051768622,0.10934137051768622,0.003596571357114997,1.1128488741562612,0.22403429240025344
frozenset({'ground beef'}),"frozenset({'chocolate', 'mineral water'})",0.010931875749900012,0.1112618724559023,2.112848874156261,0.005757877796891889,1.0659386890908182,0.5840947772280797,0.07809523809523808,0.06185973899405054,0.1594284045823815,0.15197829243215089,0.05265964538061592,0.05860222707528638,0.05860222707528638,0.0021619460850200558,1.1128488741562612,0.12007265332170979
"frozenset({'ground beef', 'milk'})",frozenset({'mineral water'}),0.011065191307825623,0.503030303030303,2.1103077757440176,0.00582178964148601,1.5325517573266656,0.537969216013454,0.04438502673796792,0.3474934890653427,0.27472544234289203,0.15281020665191028,0.23836821757099053,0.2646620854593125,0.2646620854593125,0.0055323924364415935,1.1103077757440176,0.5419917217240144
frozenset({'mineral water'}),"frozenset({'ground beef', 'milk'})",0.011065191307825623,0.046420581655480984,2.1103077757440176,0.00582178964148601,1.0256124598831593,0.6908003095877295,0.04438502673796792,0.024972843920087633,0.27472544234289203,0.15281020665191028,0.021997067057725635,0.02442351459775535,0.02442351459775535,0.000979617126810444,1.1103077757440176,0.050016014588625486
frozenset({'frozen vegetables'}),"frozenset({'spaghetti', 'mineral water'})",0.011998400213304892,0.12587412587412586,2.1075487012987013,0.006305340685944358,1.0756741767764297,0.5808854831843338,0.08387698042870456,0.07035046337470836,0.16338349150849152,0.15901953586654938,0.05972536995067324,0.06614875592345262,0.06614875592345262,0.0026403638789120262,1.1075487012987013,0.13538592621728726
